"Gene_class",".y.","group1","group2","n1","n2","statistic","df","p","notes","p_adjusted","p.adj.signif"
"diaminopyrimidine",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"diaminopyrimidine",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"diaminopyrimidine",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"diaminopyrimidine",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"diaminopyrimidine",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fluoroquinolone",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"fosmidomycin",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"glycopeptide",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"multidrug",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"mupirocin",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"peptide",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"phenicol",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"pleuromutilin",NA,NA,NA,NA,NA,NA,NA,NA,"Not enough groups for comparison within this Gene_class",NA,NA
"sulfonamide",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"tetracycline",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"triclosan",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Ketogenic","Omnivore",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Ketogenic","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Ketogenic","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Omnivore","Vegan",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Omnivore","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
"unclassified",NA,"Vegan","Vegetarian",NA,NA,NA,NA,NA,"Data are essentially constant in one or both groups",NA,NA
